# tracer: nop
#
# entries-in-buffer/entries-written: 14477/14477   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   systemd-sleep-476241  [000] ..... 24997.769550: suspend_resume: CPU_ON[1] end
   systemd-sleep-476241  [000] ..... 24997.769553: suspend_resume: CPU_ON[2] begin
   systemd-sleep-476241  [000] ..... 24997.772676: suspend_resume: CPU_ON[2] end
   systemd-sleep-476241  [000] ..... 24997.772679: suspend_resume: CPU_ON[3] begin
   systemd-sleep-476241  [000] ..... 24997.775804: suspend_resume: CPU_ON[3] end
   systemd-sleep-476241  [000] ..... 24997.775806: suspend_resume: CPU_ON[4] begin
   systemd-sleep-476241  [001] ..... 24997.779508: suspend_resume: CPU_ON[4] end
   systemd-sleep-476241  [001] ..... 24997.779511: suspend_resume: CPU_ON[5] begin
   systemd-sleep-476241  [004] ..... 24997.782715: suspend_resume: CPU_ON[5] end
   systemd-sleep-476241  [004] ..... 24997.782719: suspend_resume: CPU_ON[6] begin
   systemd-sleep-476241  [004] ..... 24997.785907: suspend_resume: CPU_ON[6] end
   systemd-sleep-476241  [004] ..... 24997.785909: suspend_resume: CPU_ON[7] begin
   systemd-sleep-476241  [004] ..... 24997.789096: suspend_resume: CPU_ON[7] end
   systemd-sleep-476241  [004] ..... 24997.789098: suspend_resume: CPU_ON[8] begin
   systemd-sleep-476241  [004] ..... 24997.792316: suspend_resume: CPU_ON[8] end
   systemd-sleep-476241  [004] ..... 24997.792319: suspend_resume: CPU_ON[9] begin
   systemd-sleep-476241  [004] ..... 24997.795577: suspend_resume: CPU_ON[9] end
   systemd-sleep-476241  [004] ..... 24997.795579: suspend_resume: CPU_ON[10] begin
   systemd-sleep-476241  [004] ..... 24997.798836: suspend_resume: CPU_ON[10] end
   systemd-sleep-476241  [004] ..... 24997.798839: suspend_resume: CPU_ON[11] begin
   systemd-sleep-476241  [004] ..... 24997.802178: suspend_resume: CPU_ON[11] end
   systemd-sleep-476241  [004] ..... 24997.802180: suspend_resume: CPU_ON[12] begin
   systemd-sleep-476241  [004] ..... 24997.805566: suspend_resume: CPU_ON[12] end
   systemd-sleep-476241  [004] ..... 24997.805568: suspend_resume: CPU_ON[13] begin
   systemd-sleep-476241  [004] ..... 24997.809034: suspend_resume: CPU_ON[13] end
   systemd-sleep-476241  [004] ..... 24997.809036: suspend_resume: CPU_ON[14] begin
   systemd-sleep-476241  [004] ..... 24997.812476: suspend_resume: CPU_ON[14] end
   systemd-sleep-476241  [004] ..... 24997.812478: suspend_resume: CPU_ON[15] begin
   systemd-sleep-476241  [004] ..... 24997.815953: suspend_resume: CPU_ON[15] end
   systemd-sleep-476241  [002] ..... 24997.860063: suspend_resume: dpm_resume_noirq[16] begin
   systemd-sleep-476241  [015] ..... 24997.907415: suspend_resume: dpm_resume_noirq[16] end
   systemd-sleep-476241  [015] ..... 24997.907499: suspend_resume: dpm_resume_early[16] begin
   systemd-sleep-476241  [015] ..... 24997.907917: suspend_resume: dpm_resume_early[16] end
   systemd-sleep-476241  [015] ..... 24997.907919: suspend_resume: dpm_resume[16] begin
  kworker/u64:14-427867  [007] ..... 24997.952273: smbus_read: i2c-11 a=02c f=0040 c=fd BYTE_DATA
  kworker/u64:14-427867  [007] ..... 24997.953342: smbus_reply: i2c-11 a=02c f=0000 c=fd BYTE_DATA l=1 [02]
  kworker/u64:14-427867  [007] ..... 24997.953343: smbus_result: i2c-11 a=02c f=0000 c=fd BYTE_DATA rd res=0
  kworker/u64:14-427867  [007] ..... 24997.953345: smbus_write: i2c-11 a=02c f=0040 c=87 BLOCK_DATA l=5 [04-15-00-02-00]
